exercise,gpt-4o-2024-08-06,gpt-3.5-turbo-0125,qwen/qwen3-32b,deepseek-r1-distill-llama-70b,gemma2-9b-it,llama-3.1-8b-instant,llama-3.3-70b-versatile,Iteration
24,0.9581677317619324,0.9667180776596068,0.9906564354896544,0.9643418192863464,0.6442715525627136,0.9905842542648317,0.9763129353523254,1
25,0.973414182662964,0.9569584131240844,0.88972008228302,0.9712761640548706,0.9422017931938172,0.976986527442932,0.9689874649047852,1
26,0.9349000453948976,0.9395866990089417,0.948058784008026,0.93365478515625,0.9117180705070496,0.8972633481025696,0.978809654712677,1
27,0.9854656457901,0.9784723520278932,0.9700488448143004,0.9756222367286682,0.9619290828704834,0.9842601418495178,0.9821133613586426,1
28,0.9743688702583312,0.967662751674652,0.9857509136199952,0.9901909828186036,0.9902262091636658,0.988824725151062,0.9810234308242798,1
29,0.9648175239562988,0.5554370880126953,0.9511593580245972,0.950613796710968,0.946576714515686,0.9647109508514404,0.952067255973816,1
30,0.969581425189972,0.9668907523155212,0.9429078698158264,0.9474681615829468,0.9526985883712769,0.9539986848831176,0.9586797952651978,1
31,0.96598052978515625,0.96598052978515625,0.9691678881645204,0.9691678881645204,0.96598052978515625,0.9842565655708312,0.9675455689430236,1
32,0.985600769519806,0.9820452928543092,0.9870262742042542,0.9836533069610596,0.9807449579238892,0.9797854423522948,0.9882048964500428,1
33,0.9690710306167604,0.8056552410125732,0.953611433506012,0.966232419013977,0.9628676176071168,0.9600067138671876,0.9694270491600036,1
34,0.9696224927902222,0.9528526663780212,0.9603868722915648,0.9721627831459044,0.973789393901825,0.9815773963928224,0.9702318906784058,1
35,0.9561505317687988,0.9476299285888672,0.9755276441574096,0.9759020805358888,0.9485735893249512,0.972497582435608,0.9698700904846193,1
36,0.9430899620056152,0.9430899620056152,0.9430899620056152,0.947282075881958,0.9279879927635192,0.9325613975524902,0.947282075881958,1
37,0.9630558490753174,0.9551030993461608,0.9630558490753174,0.9381723403930664,0.9381723403930664,0.9483290314674376,0.991400420665741,1
38,0.9827511310577391,0.8842312693595886,0.958751380443573,0.9797199964523317,0.8825076222419739,0.9656818509101868,0.9857238531112672,1
1,0.9866250157356262,0.9521086812019348,0.9801723957061768,0.9518152475357056,0.9917441606521606,0.9832178354263306,0.9958258867263794,2
2,0.9800838232040404,0.9830721020698548,0.9824726581573486,0.9859540462493896,0.9824726581573486,0.9823653101921082,0.9886178374290466,2
4,0.9598951935768129,0.9598951935768129,0.9528721570968628,0.9565659165382384,0.9617952704429626,0.990187168121338,0.9942540526390076,2
5,0.9836552143096924,0.9893628358840942,0.9889355897903442,0.989893078804016,0.9876383543014526,0.9870545268058776,0.9854743480682372,2
6,0.9772967100143432,0.9763060808181764,0.9733846783638,0.9765580892562866,0.9828009605407716,0.9822298288345336,0.981736183166504,2
7,0.937296450138092,0.9376157522201538,0.9738650918006896,0.932759702205658,0.9352644681930542,0.9389010667800904,0.969616949558258,2
8,0.988842785358429,0.986689567565918,0.9871892929077148,0.9899861216545104,0.9786926507949828,0.9884135127067566,0.9898607134819032,2
9,0.991249144077301,0.9676232933998108,0.95548248291015625,0.9931156635284424,0.9676232933998108,0.9563400745391846,0.9924339652061462,2
10,0.995599091053009,0.9853544235229492,0.9960272908210754,0.9934342503547668,0.9939960241317748,0.9868896007537842,0.9898313283920288,2
11,0.9528282284736632,0.939976930618286,0.9624924659729004,0.9666619300842284,0.950850784778595,0.9664677381515504,0.9451360702514648,2
12,0.7825966477394104,0.983708381652832,0.9867827892303468,0.9825427532196044,0.9778369665145874,0.9849324226379396,0.9742096662521362,2
13,0.949177861213684,0.9417603611946106,0.962292730808258,0.96813368797302235,0.9671361446380616,0.9750885367393494,0.9945514798164368,2
14,0.9871315956115724,0.9664256572723388,0.9675133228302002,0.9587684273719788,0.963760495185852,0.9581432938575744,0.9904857873916626,2
15,0.948363721370697,0.9202360510826112,0.956294059753418,0.9373891353607178,0.9411681890487672,0.9414262175559998,0.9761595726013184,2
16,0.97971510887146,0.8935514688491821,0.9822100400924684,0.9845918416976928,0.977301836013794,0.9455915093421936,0.972912073135376,2
17,0.9656097888946532,0.9574287533760072,0.9501683712005616,0.9589646458625792,0.9521826505661012,0.9609457850456238,0.9929880499839784,2
18,0.8844505548477173,0.8988277316093445,0.9615535140037536,0.8821544647216797,0.9528197050094604,0.9889119267463684,0.9833698272705078,2
19,0.8612436652183533,0.8110775351524353,0.9358432292938232,0.8650805950164795,0.8803077936172485,0.8194316625595093,0.9757162928581238,2
20,0.9481351375579834,0.8618062138557434,0.939508020877838,0.9765006303787231,0.949359893798828,0.9553972482681274,0.9741826057434082,2
21,0.9688587188720704,0.943138837814331,0.9392881989479064,0.94563490152359,0.9691908359527588,0.96692556142807,0.9700735807418824,2
22,0.9766764044761658,0.9469069242477416,0.9673301577568054,0.9398753643035888,0.9743735790252686,0.9759906530380248,0.9749301075935364,2
23,0.9574196338653564,0.9768813848495485,0.9319815039634703,0.9551695585250854,0.9593569040298462,0.9711939096450806,0.9735418558120728,2
24,0.96343731880188,0.9882432222366332,0.9835427403450012,0.9531254768371582,0.9563283920288086,0.996299684047699,0.9669232964515686,2
25,0.974750280380249,0.953007996082306,0.9737385511398317,0.8816412687301636,0.960027039051056,0.9606002569198608,0.9666353464126588,2
26,0.625054121017456,0.9077104926109314,0.9754936695098876,0.9430907368659972,0.928061544895172,0.9575624465942384,0.9279941320419312,2
27,0.9843540191650392,0.9619290828704834,0.9857211112976074,0.978177011013031,0.98388671875,0.984631597995758,0.9821133613586426,2
28,0.9925909042358398,0.948643684387207,0.9850399494171144,0.9850364923477172,0.9840784072875975,0.9797472953796388,0.9802656173706056,2
29,0.9578830003738404,0.8982282280921936,0.9567755460739136,0.9497975707054138,0.8987658619880676,0.961311936378479,0.9500917196273804,2
30,0.9572595357894896,0.7537224292755127,0.963985562324524,0.9630613327026368,0.9278154373168944,0.9549443125724792,0.9511037468910216,2
31,0.971983790397644,0.971983790397644,0.9691678881645204,0.9691678881645204,0.96598052978515625,0.9587551355361938,0.9799020290374756,2
32,0.9904980659484864,0.9824168682098388,0.9841745495796204,0.9821966290473938,0.9821237325668336,0.973968267440796,0.9883201122283936,2
33,0.9692770838737488,0.9715476632118224,0.966538429260254,0.9678259491920472,0.9682520031929016,0.9626686573028564,0.9665530920028688,2
34,0.9713855981826782,0.957423985004425,0.9516786336898804,0.9646716117858888,0.9688798189163208,0.9591137766838074,0.9723309874534608,2
35,0.9807008504867554,0.9492199420928956,0.91705060005188,0.963493824005127,0.9735259413719176,0.97759246826171875,0.9701827764511108,2
36,0.9430899620056152,0.9430899620056152,0.9430899620056152,0.9430899620056152,0.9430899620056152,0.9484913349151612,0.999449610710144,2
37,0.9630558490753174,0.9551030993461608,0.9630558490753174,0.9630558490753174,0.9483290314674376,0.9381723403930664,0.9630558490753174,2
38,0.9441515803337096,0.8967772126197815,0.9792780876159668,0.964198112487793,0.9619985818862916,0.885569155216217,0.9773963689804076,2
1,0.9866250157356262,0.9521086812019348,0.9801723957061768,0.9518152475357056,0.9917441606521606,0.9832178354263306,0.9958258867263794,3
2,0.9800838232040404,0.9830721020698548,0.9824726581573486,0.9859540462493896,0.9824726581573486,0.9823653101921082,0.9886178374290466,3
4,0.9598951935768129,0.9598951935768129,0.9528721570968628,0.9565659165382384,0.9617952704429626,0.990187168121338,0.9942540526390076,3
5,0.9836552143096924,0.9893628358840942,0.9889355897903442,0.989893078804016,0.9876383543014526,0.9870545268058776,0.9854743480682372,3
6,0.9772967100143432,0.9763060808181764,0.9733846783638,0.9765580892562866,0.9828009605407716,0.9822298288345336,0.981736183166504,3
7,0.937296450138092,0.9376157522201538,0.9738650918006896,0.932759702205658,0.9352644681930542,0.9389010667800904,0.969616949558258,3
8,0.988842785358429,0.986689567565918,0.9871892929077148,0.9899861216545104,0.9786926507949828,0.9884135127067566,0.9898607134819032,3
9,0.991249144077301,0.9676232933998108,0.95548248291015625,0.9931156635284424,0.9676232933998108,0.9563400745391846,0.9924339652061462,3
10,0.995599091053009,0.9853544235229492,0.9960272908210754,0.9934342503547668,0.9939960241317748,0.9868896007537842,0.9898313283920288,3
11,0.9528282284736632,0.939976930618286,0.9624924659729004,0.9666619300842284,0.950850784778595,0.9664677381515504,0.9451360702514648,3
12,0.7825966477394104,0.983708381652832,0.9867827892303468,0.9825427532196044,0.9778369665145874,0.9849324226379396,0.9742096662521362,3
13,0.949177861213684,0.9417603611946106,0.962292730808258,0.96813368797302235,0.9671361446380616,0.9750885367393494,0.9945514798164368,3
14,0.9871315956115724,0.9664256572723388,0.9675133228302002,0.9587684273719788,0.963760495185852,0.9581432938575744,0.9904857873916626,3
15,0.948363721370697,0.9202360510826112,0.956294059753418,0.9373891353607178,0.9411681890487672,0.9414262175559998,0.9761595726013184,3
16,0.97971510887146,0.8935514688491821,0.9822100400924684,0.9845918416976928,0.977301836013794,0.9455915093421936,0.972912073135376,3
17,0.9656097888946532,0.9574287533760072,0.9501683712005616,0.9589646458625792,0.9521826505661012,0.9609457850456238,0.9929880499839784,3
18,0.8844505548477173,0.8988277316093445,0.9615535140037536,0.8821544647216797,0.9528197050094604,0.9889119267463684,0.9833698272705078,3
19,0.8612436652183533,0.8110775351524353,0.9358432292938232,0.8650805950164795,0.8803077936172485,0.8194316625595093,0.9757162928581238,3
20,0.9481351375579834,0.8618062138557434,0.939508020877838,0.9765006303787231,0.949359893798828,0.9553972482681274,0.9741826057434082,3
21,0.9688587188720704,0.943138837814331,0.9392881989479064,0.94563490152359,0.9691908359527588,0.96692556142807,0.9700735807418824,3
22,0.9766764044761658,0.9469069242477416,0.9673301577568054,0.9398753643035888,0.9743735790252686,0.9759906530380248,0.9749301075935364,3
23,0.9574196338653564,0.9768813848495485,0.9319815039634703,0.9551695585250854,0.9593569040298462,0.9711939096450806,0.9735418558120728,3
24,0.96343731880188,0.9882432222366332,0.9835427403450012,0.9531254768371582,0.9563283920288086,0.996299684047699,0.9669232964515686,3
25,0.974750280380249,0.953007996082306,0.9737385511398317,0.8816412687301636,0.960027039051056,0.9606002569198608,0.9666353464126588,3
26,0.625054121017456,0.9077104926109314,0.9754936695098876,0.9430907368659972,0.928061544895172,0.9575624465942384,0.9279941320419312,3
27,0.9843540191650392,0.9619290828704834,0.9857211112976074,0.978177011013031,0.98388671875,0.984631597995758,0.9821133613586426,3
28,0.9925909042358398,0.948643684387207,0.9850399494171144,0.9850364923477172,0.9840784072875975,0.9797472953796388,0.9802656173706056,3
29,0.9578830003738404,0.8982282280921936,0.9567755460739136,0.9497975707054138,0.8987658619880676,0.961311936378479,0.9500917196273804,3
30,0.9572595357894896,0.7537224292755127,0.963985562324524,0.9630613327026368,0.9278154373168944,0.9549443125724792,0.9511037468910216,3
31,0.971983790397644,0.971983790397644,0.9691678881645204,0.9691678881645204,0.96598052978515625,0.9587551355361938,0.9799020290374756,3
32,0.9904980659484864,0.9824168682098388,0.9841745495796204,0.9821966290473938,0.9821237325668336,0.973968267440796,0.9883201122283936,3
33,0.9692770838737488,0.9715476632118224,0.966538429260254,0.9678259491920472,0.9682520031929016,0.9626686573028564,0.9665530920028688,3
34,0.9713855981826782,0.957423985004425,0.9516786336898804,0.9646716117858888,0.9688798189163208,0.9591137766838074,0.9723309874534608,3
35,0.9807008504867554,0.9492199420928956,0.91705060005188,0.963493824005127,0.9735259413719176,0.97759246826171875,0.9701827764511108,3
36,0.9430899620056152,0.9430899620056152,0.9430899620056152,0.9430899620056152,0.9430899620056152,0.9484913349151612,0.999449610710144,3
37,0.9630558490753174,0.9551030993461608,0.9630558490753174,0.9630558490753174,0.9483290314674376,0.9381723403930664,0.9630558490753174,3
38,0.9441515803337096,0.8967772126197815,0.9792780876159668,0.964198112487793,0.9619985818862916,0.885569155216217,0.9773963689804076,3
